year,state,STATE,county,County,fips,GEOID,total_pop,tHH,tfHH_18,tfHH_65,HH_inc,clf,clf_ue
2019,AR,Arkansas,MILLER ,Miller ,5091,05000US05091,43572,16426,5261,2887,43371,19133,1341
,,,,,,,,,,,,,
2019,AR,Arkansas,MISSISSIPPI ,Mississippi ,5093,05000US05093,42126,16389,5437,2447,39962,19129,1764
,,,,,,,,,,,,,
2019,AR,Arkansas,MONROE ,Monroe ,5095,05000US05095,7050,3333,792,612,38468,3220,242
,,,,,,,,,,,,,
2019,AR,Arkansas,MONTGOMERY ,Montgomery ,5097,05000US05097,8950,3754,816,939,35741,3530,268
,,,,,,,,,,,,,
2019,AR,Arkansas,NEVADA ,Nevada ,5099,05000US05099,8351,3397,1063,757,38042,3401,197
,,,,,,,,,,,,,
2019,AR,Arkansas,NEWTON ,Newton ,5101,05000US05101,7812,2936,562,693,38082,2983,105
,,,,,,,,,,,,,
2019,AR,Arkansas,OUACHITA ,Ouachita ,5103,05000US05103,23830,9658,2647,1923,35425,10289,802
,,,,,,,,,,,,,
2019,AR,Arkansas,PERRY ,Perry ,5105,05000US05105,10355,3668,1093,980,48667,4014,221
,,,,,,,,,,,,,
2019,AR,Arkansas,PHILLIPS ,Phillips ,5107,05000US05107,18606,7485,2376,1466,29320,7505,797
,,,,,,,,,,,,,
2019,AR,Arkansas,PIKE ,Pike ,5109,05000US05109,10756,4280,1382,879,40401,4835,226
,,,,,,,,,,,,,
2019,AR,Arkansas,POINSETT ,Poinsett ,5111,05000US05111,23896,9526,3108,1874,40921,10409,607
,,,,,,,,,,,,,
2019,AR,Arkansas,POLK ,Polk ,5113,05000US05113,20094,8243,2323,2037,37974,7951,740
,,,,,,,,,,,,,
2019,AR,Arkansas,POPE ,Pope ,5115,05000US05115,63761,22579,7239,3871,43462,28577,1823
,,,,,,,,,,,,,
2019,AR,Arkansas,PRAIRIE ,Prairie ,5117,05000US05117,8189,3776,1013,744,42660,3712,262
,,,,,,,,,,,,,
2019,AR,Arkansas,PULASKI ,Pulaski ,5119,05000US05119,392967,158051,46186,23340,51749,193195,8993
,,,,,,,,,,,,,
2019,AR,Arkansas,RANDOLPH ,Randolph ,5121,05000US05121,17695,7355,2466,1462,37218,7293,317
,,,,,,,,,,,,,
2019,AR,Arkansas,ST. FRANCIS ,St. Francis ,5123,05000US05123,25900,9388,2676,1753,35348,9102,560
,,,,,,,,,,,,,
2019,AR,Arkansas,SALINE ,Saline ,5125,05000US05125,119415,44075,14687,8799,64412,59938,2247
,,,,,,,,,,,,,
2019,AR,Arkansas,SCOTT ,Scott ,5127,05000US05127,10376,3944,1056,902,36092,4090,332
,,,,,,,,,,,,,
2019,AR,Arkansas,SEARCY ,Searcy ,5129,05000US05129,7908,3327,823,899,36438,3219,122
,,,,,,,,,,,,,
2019,AR,Arkansas,SEBASTIAN ,Sebastian ,5131,05000US05131,127591,51228,16178,7785,46228,60171,2875
,,,,,,,,,,,,,
2019,AR,Arkansas,SEVIER ,Sevier ,5133,05000US05133,17081,5885,2377,957,47704,7765,427
,,,,,,,,,,,,,
2019,AR,Arkansas,SHARP ,Sharp ,5135,05000US05135,17139,7447,1815,1764,34671,6226,269
,,,,,,,,,,,,,
2019,AR,Arkansas,STONE ,Stone ,5137,05000US05137,12475,4787,1146,1066,38188,4829,303
,,,,,,,,,,,,,
2019,AR,Arkansas,UNION ,Union ,5139,05000US05139,39449,15726,4927,2956,44663,16405,815
,,,,,,,,,,,,,
2019,AR,Arkansas,VAN BUREN ,Van Buren ,5141,05000US05141,16642,6813,1759,1695,38499,6126,456
,,,,,,,,,,,,,
2019,AR,Arkansas,WASHINGTON ,Washington ,5143,05000US05143,232289,87325,28969,10988,50451,116950,5587
,,,,,,,,,,,,,
2019,AR,Arkansas,WHITE ,White ,5145,05000US05145,78762,29055,9447,5281,44029,34170,1957
,,,,,,,,,,,,,
2019,AR,Arkansas,WOODRUFF ,Woodruff ,5147,05000US05147,6533,2932,822,527,32845,2879,226
,,,,,,,,,,,,,
2019,AR,Arkansas,YELL ,Yell ,5149,05000US05149,21464,7503,2479,1592,43923,9498,395
,,,,,,,,,,,,,
2019,CA,California,ALAMEDA ,Alameda ,6001,05000US06001,1656754,577177,192453,96078,99406,904174,41725
,,,,,,,,,,,,,
2019,CA,California,ALPINE ,Alpine ,6003,05000US06003,1039,350,66,130,63750,392,49
,,,,,,,,,,,,,
2019,CA,California,AMADOR ,Amador ,6005,05000US06005,38429,14594,3503,4350,62772,14675,1010
,,,,,,,,,,,,,
2019,CA,California,BUTTE ,Butte ,6007,05000US06007,225817,85320,22386,16511,52537,104557,8462
,,,,,,,,,,,,,
